Orthogroup	Gene_Count	Normalized_Gene_Count
OG0001002	10	0.909091
OG0001003	10	0.909091
OG0001004	10	0.909091
OG0001005	10	0.909091
OG0001006	10	0.909091
OG0001007	10	0.909091
OG0001008	10	0.909091
OG0001009	9	0.818182
OG0001010	10	0.909091
OG0001011	10	0.909091
OG0001012	10	0.909091
OG0001013	10	0.909091
OG0001014	10	0.909091
OG0001015	10	0.909091
OG0001016	10	0.909091
OG0001017	10	0.909091
OG0001018	10	0.909091
OG0001019	10	0.909091
OG0001020	10	0.909091
OG0001021	10	0.909091
OG0001022	10	0.909091
OG0001023	10	0.909091
OG0001024	10	0.909091
OG0001025	10	0.909091
OG0001026	10	0.909091
OG0001027	10	0.909091
OG0001028	10	0.909091
OG0001029	10	0.909091
OG0001030	10	0.909091
OG0001031	10	0.909091
OG0001032	10	0.909091
OG0001033	10	0.909091
OG0001034	10	0.909091
OG0001035	10	0.909091
OG0001036	9	0.818182
OG0001037	10	0.909091
OG0001038	10	0.909091
OG0001039	10	0.909091
OG0001040	10	0.909091
OG0001041	10	0.909091
OG0001042	10	0.909091
OG0001043	10	0.909091
OG0001044	10	0.909091
OG0001045	10	0.909091
OG0001046	10	0.909091
OG0001047	10	0.909091
OG0001048	10	0.909091
OG0001049	9	0.818182
OG0001050	10	0.909091
OG0001051	10	0.909091
OG0001052	10	0.909091
OG0001053	10	0.909091
OG0001054	10	0.909091
OG0001055	10	0.909091
OG0001056	10	0.909091
OG0001057	10	0.909091
OG0001058	10	0.909091
OG0001059	10	0.909091
